|time| inM  |  instruction   |reset| outM  |writeM |addre| pc  |
|0+  |     0|0011000000111001|  0  |      0|   0   |    0|    0|
|1   |     0|0011000000111001|  0  |      0|   0   |12345|    1|
|1+  |     0|1110110000010000|  0  |  12345|   0   |12345|    1|
|2   |     0|1110110000010000|  0  |  12345|   0   |12345|    2|
|2+  |     0|0101101110100000|  0  |     -1|   0   |12345|    2|
|3   |     0|0101101110100000|  0  |     -1|   0   |23456|    3|
|3+  |     0|1110000111010000|  0  |  11111|   0   |23456|    3|
|4   |     0|1110000111010000|  0  |  12345|   0   |23456|    4|
|4+  |     0|0000001111101000|  0  | -11111|   0   |23456|    4|
|5   |     0|0000001111101000|  0  | -11111|   0   | 1000|    5|
|5+  |     0|1110001100001000|  0  |  11111|   1   | 1000|    5|
|6   |     0|1110001100001000|  0  |  11111|   1   | 1000|    6|
|6+  |     0|0000001111101001|  0  | -11111|   0   | 1000|    6|
|7   |     0|0000001111101001|  0  | -11111|   0   | 1001|    7|
|7+  |     0|1110001110011000|  0  |  11110|   1   | 1001|    7|
|8   |     0|1110001110011000|  0  |  11109|   1   | 1001|    8|
|8+  |     0|0000001111101000|  0  | -11110|   0   | 1001|    8|
|9   |     0|0000001111101000|  0  | -11110|   0   | 1000|    9|
|9+  | 11111|1111010011010000|  0  |     -1|   0   | 1000|    9|
|10  | 11111|1111010011010000|  0  | -11112|   0   | 1000|   10|
|10+ | 11111|0000000000001110|  0  |   1000|   0   | 1000|   10|
|11  | 11111|0000000000001110|  0  |     14|   0   |   14|   11|
|11+ | 11111|1110001100000100|  0  |     -1|   0   |   14|   11|
|12  | 11111|1110001100000100|  0  |     -1|   0   |   14|   14|
|12+ | 11111|0000001111100111|  0  |      1|   0   |   14|   14|
|13  | 11111|0000001111100111|  0  |      1|   0   |  999|   15|
|13+ | 11111|1110110111100000|  0  |   1000|   0   |  999|   15|
|14  | 11111|1110110111100000|  0  |      0|   0   |32767|   16|
