| RAM[0] |RAM[256]|RAM[300]|RAM[401]|RAM[402]|RAM[3006|RAM[3012|RAM[3015|RAM[11] |
|    257 |     10 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |
|    256 |     10 |     10 |      0 |      0 |      0 |      0 |      0 |      0 |
|    257 |     21 |     10 |      0 |      0 |      0 |      0 |      0 |      0 |
|    258 |     21 |     10 |      0 |      0 |      0 |      0 |      0 |      0 |
|    257 |     21 |     10 |      0 |     22 |      0 |      0 |      0 |      0 |
|    256 |     21 |     10 |     21 |     22 |      0 |      0 |      0 |      0 |
|    257 |     36 |     10 |     21 |     22 |      0 |      0 |      0 |      0 |
|    256 |     36 |     10 |     21 |     22 |     36 |      0 |      0 |      0 |
|    257 |     42 |     10 |     21 |     22 |     36 |      0 |      0 |      0 |
|    258 |     42 |     10 |     21 |     22 |     36 |      0 |      0 |      0 |
|    257 |     42 |     10 |     21 |     22 |     36 |      0 |     45 |      0 |
|    256 |     42 |     10 |     21 |     22 |     36 |     42 |     45 |      0 |
|    257 |    510 |     10 |     21 |     22 |     36 |     42 |     45 |      0 |
|    256 |    510 |     10 |     21 |     22 |     36 |     42 |     45 |    510 |
|    257 |     10 |     10 |     21 |     22 |     36 |     42 |     45 |    510 |
|    258 |     10 |     10 |     21 |     22 |     36 |     42 |     45 |    510 |
|    257 |     55 |     10 |     21 |     22 |     36 |     42 |     45 |    510 |
|    258 |     55 |     10 |     21 |     22 |     36 |     42 |     45 |    510 |
|    257 |     34 |     10 |     21 |     22 |     36 |     42 |     45 |    510 |
|    258 |     34 |     10 |     21 |     22 |     36 |     42 |     45 |    510 |
|    259 |     34 |     10 |     21 |     22 |     36 |     42 |     45 |    510 |
|    258 |     34 |     10 |     21 |     22 |     36 |     42 |     45 |    510 |
|    257 |    -38 |     10 |     21 |     22 |     36 |     42 |     45 |    510 |
|    258 |    -38 |     10 |     21 |     22 |     36 |     42 |     45 |    510 |
|    257 |    472 |     10 |     21 |     22 |     36 |     42 |     45 |    510 |
|    257 |   -472 |     10 |     21 |     22 |     36 |     42 |     45 |    510 |
|    256 |    472 |     10 |     21 |     22 |     36 |     42 |     45 |    510 |
